Key,en,es,ar,fr,hi
Languages,Languages,Idiomas,اللغات,Langues,बोली
Language,Language,Idioma,لغة,Langue,भाषा
Information,Information,Información,معلومة,Information,जानकारी
Language Information,Language Information,Información de idioma,معلومات اللغة,Informations linguistiques,भाषा संबंधी जानकारी
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة,Gestionnaire de langues,भाषा प्रबंधक
Language created successfully!,Language created successfully!,¡Idioma creado exitosamente!,تم إنشاء اللغة بنجاح!,Langue créée avec succès !,भाषा सफलतापूर्वक बनाई गई!
Super Admin,Super Admin,Súper administrador,المشرف الفائق,Super administrateur,सुपर एडमिन
DEFAULT,DEFAULT,POR DEFECTO,تقصير,DÉFAUT,गलती करना
Setup Currency,Setup Currency,Configuración de moneda,عملة الإعداد,Devise de configuration,सेटअप मुद्रा
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والمصاريف,Frais et charges,फीस एवं शुल्क
TRANSACTIONS & LOGS,Transactions & Logs,Transacciones y registros,المعاملات والسجلات,Transactions et journaux,लेन-देन और लॉग
Add Money Logs,Add Money Logs,Agregar registros de dinero,إضافة سجلات الأموال,Ajouter des journaux d'argent,मनी लॉग्स जोड़ें
All Logs,All Logs,Todos los registros,جميع السجلات,Tous les journaux,सभी लॉग
Money Out Logs,Money Out Logs,Registros de salida de dinero,سجلات خروج الأموال,Journaux de sorties d'argent,मनी आउट लॉग
Pending Logs,Pending Logs,Registros pendientes,السجلات المعلقة,Journaux en attente,लंबित लॉग
Completed Logs,Completed Logs,Registros completados,السجلات المكتملة,Journaux terminés,पूर्ण लॉग
Canceled Logs,Canceled Logs,Registros cancelados,السجلات الملغاة,Journaux annulés,रद्द किए गए लॉग
User Care,User Care,Atención al usuario,رعاية المستخدم,Entretien utilisateur,उपयोगकर्ता देखभाल
Active Users,Active Users,Usuarios activos,المستخدمون النشطون,Utilisateurs actifs,सक्रिय उपयोगकर्ता
All Users,All Users,Todos los usuarios,كافة المستخدمين,Tous les utilisateurs,सभी उपयोगकर्ता
Email To Users,Email To Users,Enviar correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين,Envoyer un e-mail aux utilisateurs,उपयोगकर्ताओं को ईमेल करें
Banned Users,Banned Users,Usuarios prohibidos,المستخدمون المحظورون,Utilisateurs bannis,प्रतिबंधित उपयोगकर्ता
Agent Care,Agent Care,Atención al agente,رعاية الوكيل,Entretien des agents,एजेंट की देखभाल
Active Agents,Active Agents,Agentes activos,الوكلاء النشطون,Agents actifs,सक्रिय एजेंट
Email unverified,Email Unverified,Correo electrónico no verificado,لم يتم التحقق من البريد الإلكتروني,E-mail non vérifié,ईमेल असत्यापित
KYC Unverified,KYC Unverified,KYC no verificado,لم يتم التحقق من KYC,KYC non vérifié,केवाईसी असत्यापित
All Agents,All Agents,Todos los agentes,جميع الوكلاء,Tous les agents,सभी एजेंट
Email To Agents,Email To Agents,Correo electrónico a los agentes,البريد الإلكتروني للوكلاء,Envoyer un e-mail aux agents,एजेंटों को ईमेल करें
